亽	人丶 [ wg y ]
亾	㇗人 [ x wg ]
亿	亻乙 [ r cg ]
什	亻十 [ r fg ]
仁	亻二 [ r jg ]
仂	亻力 [ r ct ]
仃	亻丁 [ r kl ]
仄	厂人 [ s wg ]
仅	亻又 [ r vy ]
仆	亻卜 [ r lg ]
仇	亻九 [ r qt ]
仈	亻八 [ r w ]
仉	亻几 [ r mg ]
今	人丶㇇ [ wg y v ]
介	人{介下} [ wg r ]
仌	人人 [ wg wg ]
仍	亻乃 [ r cp ]
从	人人 [ wg wg ]
仏	亻厶 [ r xy ]
仐	人十 [ wg fg ]
仑	人匕 [ wg x ]
仒	人⺀ [ wg u ]
仓	人㔾 [ wg c ]
仔	亻子 [ r ck ]
仕	亻士 [ r j ]
他	亻也 [ r cl ]
仗	亻一乂 [ r k wy ]
付	亻寸 [ r gy ]
仙	亻山 [ r mx ]
仚	人山 [ wg mx ]
仛	亻丿七 [ r t ag ]
仜	亻工 [ r jl ]
仝	人工 [ wg jl ]
仞	亻刀丶 [ r co y ]
仟	亻丿十 [ r t fg ]
仠	亻干 [ r fl ]
仡	亻𠂉乙 [ r tk cg ]
仢	亻勺 [ r qy ]
代	亻弋 [ r ay ]
令	令 [ wp ]
以	㇙丶人 [ x y wg ]
仦	亻小 [ r iw ]
仧	⺊一人 [ lg k wg ]
仨	亻三 [ r hg ]
仩	亻⺊一 [ r lg k ]
仪	亻丶乂 [ r y wy ]
仫	亻丿厶 [ r t xy ]
们	亻门 [ r up ]
仭	亻刀乀 [ r co y ]
仮	亻⺁又 [ r e vy ]
仯	亻小丿 [ r iw t ]
仰	亻{卬左}卩 [ r q c ]
仱	亻人丶㇇ [ r wg y v ]
仲	亻口丨 [ r b l ]
仳	亻匕匕 [ r x x ]
仴	亻月 [ r q ]
仵	亻午 [ r tk ]
件	亻牛 [ r tl ]
价	亻人{介下} [ r wg r ]
仸	亻丿大 [ r t sy ]
仹	亻丰 [ r hl ]
仺	人匚一 [ wg a k ]
任	亻壬 [ r tj ]
仼	亻王 [ r h ]
份	亻八刀 [ r w co ]
仾	亻一{互中}一 [ r k xv k ]
仿	亻方 [ r yc ]
伀	亻八厶 [ r w xy ]
企	人止 [ wg ll ]
伂	亻一巾 [ r k ml ]
伃	亻予 [ r vc ]
伄	亻弓丨 [ r vx l ]
伅	亻一凵乚 [ r k xl x ]
伆	亻勹{丿丿} [ r q e ]
伇	亻殳 [ r mv ]
伈	亻心 [ r pu ]
伉	亻亠几 [ r y mg ]
伊	亻彐丿 [ r vh t ]
伋	亻乃㇏ [ r cp y ]
伌	亻厂㔾 [ r s c ]
伍	亻一{五下} [ r k v ]
伎	亻十又 [ r fg vy ]
伏	亻犬 [ r su ]
伐	亻戈 [ r at ]
休	亻木 [ r d ]
伒	亻斤 [ r ek ]
伓	亻不 [ r sl ]
伔	亻冖几 [ r pp mg ]
伕	亻二人 [ r jg wg ]
伖	亻ナ又 [ r s vy ]
众	人人人 [ wg wg wg ]
优	亻尤 [ r sx ]
伙	亻火 [ r ow ]
会	人二厶 [ wg jg xy ]
伛	亻匚㐅 [ r a wy ]
伜	亻九十 [ r qt fg ]
伝	亻二厶 [ r jg xy ]
伞	人{伞下} [ wg uk ]
